series_id,label,value,date,unit,stat_code,period,chg_prev,chg_mid,chg_yoy,note
KOSIS_CPI_YOY,소비자물가 전년동월비,2.57,202604,%,DT_1J22003_T,M,0.41,0.56,0.49,소비자물가 기준지표. 통계청 익월 초 발표. BOK 목표 2%
KOSIS_CORE_CPI_YOY,근원물가 전년동월비(농산물·석유류제외),6.31,202604,%,DT_1J22007_T,M,5.55,6.94,7.29,OECD방식(식품·에너지제외). 구 ECOS QB(농산물·석유류제외)와 정의 상이 - 수치 직접 비교 불가
KOSIS_UNEMP_RATE,실업률,2.9,202604,%,DT_1DA7002S_T80,M,-0.1,-1.2,0.0,실업률. 상승 지속 시 고용 둔화 경계
KOSIS_EMP_RATE,고용률(15세이상),63.0,202604,%,DT_1DA7002S_T90,M,0.3,2.0,-0.2,고용률(15세이상). 실업률과 교차 확인으로 고용 질 파악
KOSIS_LABOR_PART,경제활동참가율,64.9,202604,%,DT_1DA7002S_T60,M,0.3,1.3,-0.2,[참조전용] 신호/레짐 점수 미사용. 경제활동참가율
KOSIS_EMP_CHANGE,취업자수 전년동기 증감,73.5,202604,천명,DT_1DA7002S_T30,M,-132.7,-34.9,-120.1,취업자수 전년동기 증감(천명). 0 이하 지속 시 고용 악화
KOSIS_CLI_COINCIDENT,동행지수 순환변동치,100.1,202603,지수,DT_1C8015_T1,M,0.5,1.1,0.5,"동행지수 순환변동치(100기준). 통계청 원천, 약 2개월 지연"
KOSIS_CLI_LEADING,선행지수 순환변동치,103.5,202603,지수,DT_1C8015_T1,M,0.7,1.9,4.0,선행지수 순환변동치(100기준). 6개월 선행 경기 방향 포착
KOSIS_INDPRO_YOY,광공업생산지수 전년비,,N/A,%,DT_1J14001_T10,M,,,,"광공업생산지수 전년비. 통계청 원천, 익월 말 발표"
KOSIS_EXPORT_YOY,수출 전년동월비(통관기준),,N/A,%,DT_TRDE_006_T10,M,,,,수출 전년동월비(관세청 통관기준). 구 ECOS 금액지수와 수치 다를 수 있음
KOSIS_IMPORT_YOY,수입 전년동월비(통관기준),,N/A,%,DT_TRDE_006_T13,M,,,,수입 전년동월비(관세청 통관기준). SIG10 참고용만 사용
KOSIS_TRADE_BALANCE,무역수지,,N/A,백만달러,DT_TRDE_006_T16,M,,,,"[참조전용] 절대금액(백만달러), 신호 점수 산정 불가"
KOSIS_RETAIL_YOY,소매판매 전년동월비,,N/A,%,DT_1J14003_T10,M,,,,소매판매 전년동월비. 내수 소비 핵심 지표
KOSIS_SERVICE_PROD_YOY,서비스업생산지수 전년비,,N/A,%,DT_1J22004_T10,M,,,,서비스업생산지수 전년비. 내수 서비스 경기 반영
