date,success,total,status
2026-08-22,11,11,✅ 정상
2026-08-23,11,11,✅ 정상
2026-08-24,11,11,✅ 정상
2026-08-25,11,11,✅ 정상
2026-08-26,11,11,✅ 정상
2026-08-27,11,11,✅ 정상
2026-08-28,0,11,❌ 전량 실패
2026-08-30,11,11,✅ 정상
2026-08-31,11,11,✅ 정상
2026-09-02,0,11,❌ 전량 실패
2026-09-03,11,11,✅ 정상
2026-09-04,11,11,✅ 정상
2026-09-05,0,11,❌ 전량 실패
2026-09-06,11,11,✅ 정상
2026-09-07,0,11,❌ 전량 실패
2026-09-08,11,11,✅ 정상
2026-09-09,11,11,✅ 정상
2026-09-10,0,11,❌ 전량 실패
2026-09-11,11,11,✅ 정상
2026-09-12,11,11,✅ 정상
2026-09-13,11,11,✅ 정상
2026-09-15,0,11,❌ 전량 실패
2026-09-16,11,11,✅ 정상
2026-09-17,11,11,✅ 정상
2026-09-18,11,11,✅ 정상
2026-09-19,11,11,✅ 정상
2026-09-20,0,11,❌ 전량 실패
2026-09-21,0,11,❌ 전량 실패
2026-09-22,11,11,✅ 정상
2026-09-23,11,11,✅ 정상
